Indicator ID,Dimension List,Timeframe,Numeric Value,Missing Value Flag,Confidence Interval Low,Confidence Interval High,Standard Error,LocaleID,Locale,County,Locale Level,Locale State FIPS Code,Locale County FIPS Code,Locale County SSA Code,Locale HRR Code,Total,Age,Sex,Race Ethnicity,Income And Poverty Status,Educational Attainment,Health Insurance Status,Sexual Orientation,Marital Status,Family Type,Veteran Status,Country Of Birth,Disability Status,Obesity Status,Characteristic Of School Or Student,Other,Geography,Modifier1,Modifier2,Modifier3,Modifier4,Modifier5,Numerator,Denominator
416363891,Total,2013,0,,,,,140,Alabama - Lawrence,Lawrence,County,1,1079,,,Total,,,,,,,,,,,,,,,,,,,,,,0,33587
416363892,Total,2013,0.4,,,,,141,Alabama - Lee,Lee,County,1,1081,,,Total,,,,,,,,,,,,,,,,,,,,,,6,150933
416363893,Total,2013,0.5,,,,,142,Alabama - Limestone,Limestone,County,1,1083,,,Total,,,,,,,,,,,,,,,,,,,,,,4,88845
416363894,Total,2013,0,,,,,143,Alabama - Lowndes,Lowndes,County,1,1085,,,Total,,,,,,,,,,,,,,,,,,,,,,0,10703
416363895,Total,2013,0.5,,,,,144,Alabama - Macon,Macon,County,1,1087,,,Total,,,,,,,,,,,,,,,,,,,,,,1,19688
416363896,Total,2013,0.9,,,,,145,Alabama - Madison,Madison,County,1,1089,,,Total,,,,,,,,,,,,,,,,,,,,,,31,346892
416363897,Total,2013,1,,,,,146,Alabama - Marengo,Marengo,County,1,1091,,,Total,,,,,,,,,,,,,,,,,,,,,,2,20155
416363898,Total,2013,1,,,,,147,Alabama - Marion,Marion,County,1,1093,,,Total,,,,,,,,,,,,,,,,,,,,,,3,30334
416363899,Total,2013,0.8,,,,,148,Alabama - Marshall,Marshall,County,1,1095,,,Total,,,,,,,,,,,,,,,,,,,,,,8,94760
416363900,Total,2013,0.9,,,,,149,Alabama - Mobile,Mobile,County,1,1097,,,Total,,,,,,,,,,,,,,,,,,,,,,36,414079
416363901,Total,2013,0.9,,,,,150,Alabama - Monroe,Monroe,County,1,1099,,,Total,,,,,,,,,,,,,,,,,,,,,,2,22236
416363902,Total,2013,0.8,,,,,151,Alabama - Montgomery,Montgomery,County,1,1101,,,Total,,,,,,,,,,,,,,,,,,,,,,18,226659
416363903,Total,2013,0.8,,,,,152,Alabama - Morgan,Morgan,County,1,1103,,,Total,,,,,,,,,,,,,,,,,,,,,,9,119787
416363904,Total,2013,1,,,,,153,Alabama - Perry,Perry,County,1,1105,,,Total,,,,,,,,,,,,,,,,,,,,,,1,10020
416363905,Total,2013,0,,,,,154,Alabama - Pickens,Pickens,County,1,1107,,,Total,,,,,,,,,,,,,,,,,,,,,,0,19401
416363906,Total,2013,0.9,,,,,155,Alabama - Pike,Pike,County,1,1109,,,Total,,,,,,,,,,,,,,,,,,,,,,3,33339
416363907,Total,2013,0.9,,,,,156,Alabama - Randolph,Randolph,County,1,1111,,,Total,,,,,,,,,,,,,,,,,,,,,,2,22727
416363908,Total,2013,0.2,,,,,157,Alabama - Russell,Russell,County,1,1113,,,Total,,,,,,,,,,,,,,,,,,,,,,1,59585
416363909,Total,2013,0.6,,,,,158,Alabama - St. Clair,St. Clair,County,1,1115,,,Total,,,,,,,,,,,,,,,,,,,,,,5,86308
416363910,Total,2013,0.8,,,,,159,Alabama - Shelby,Shelby,County,1,1117,,,Total,,,,,,,,,,,,,,,,,,,,,,16,204180
416363911,Total,2013,1.5,,,,,160,Alabama - Sumter,Sumter,County,1,1119,,,Total,,,,,,,,,,,,,,,,,,,,,,2,13361
416363912,Total,2013,0.5,,,,,161,Alabama - Talladega,Talladega,County,1,1121,,,Total,,,,,,,,,,,,,,,,,,,,,,4,81096
416363913,Total,2013,0.7,,,,,162,Alabama - Tallapoosa,Tallapoosa,County,1,1123,,,Total,,,,,,,,,,,,,,,,,,,,,,3,41203
416363914,Total,2013,0.6,,,,,163,Alabama - Tuscaloosa,Tuscaloosa,County,1,1125,,,Total,,,,,,,,,,,,,,,,,,,,,,12,200821
416363915,Total,2013,0.6,,,,,164,Alabama - Walker,Walker,County,1,1127,,,Total,,,,,,,,,,,,,,,,,,,,,,4,65998
416363916,Total,2013,0,,,,,165,Alabama - Washington,Washington,County,1,1129,,,Total,,,,,,,,,,,,,,,,,,,,,,0,16877
416363917,Total,2013,2.7,,,,,166,Alabama - Wilcox,Wilcox,County,1,1131,,,Total,,,,,,,,,,,,,,,,,,,,,,3,11307
416363918,Total,2013,1.2,,,,,167,Alabama - Winston,Winston,County,1,1133,,,Total,,,,,,,,,,,,,,,,,,,,,,3,24146
416363802,Total,2013,1.4,,,,,2,Alaska,#VALUE!,State,2,2,,,Total,,,,,,,,,,,,,,,,,,,,,,100,735132
416363919,Total,2013,0,,,,,168,Alaska - Aleutians East,Aleutians East,County,2,2013,,,Total,,,,,,,,,,,,,,,,,,,,,,0,3092
416363920,Total,2013,1.8,,,,,169,Alaska - Aleutians West,Aleutians West,County,2,2016,,,Total,,,,,,,,,,,,,,,,,,,,,,1,5511
416363921,Total,2013,1.2,,,,,170,Alaska - Anchorage,Anchorage,County,2,2020,,,Total,,,,,,,,,,,,,,,,,,,,,,37,300950
416363923,Total,2013,0,,,,,172,Alaska - Bethel,Bethel,County,2,2050,,,Total,,,,,,,,,,,,,,,,,,,,,,0,17758
416363924,Total,2013,20.8,,,,,173,Alaska - Bristol Bay,Bristol Bay,County,2,2060,,,Total,,,,,,,,,,,,,,,,,,,,,,2,960
416363925,Total,2013,5.4,,,,,174,Alaska - Denali,Denali,County,2,2068,,,Total,,,,,,,,,,,,,,,,,,,,,,1,1867
416363926,Total,2013,2,,,,,175,Alaska - Dillingham,Dillingham,County,2,2070,,,Total,,,,,,,,,,,,,,,,,,,,,,1,5010
416363927,Total,2013,0.8,,,,,176,Alaska - Fairbanks North Star,Fairbanks North Star,County,2,2090,,,Total,,,,,,,,,,,,,,,,,,,,,,8,100436
416363928,Total,2013,7.7,,,,,177,Alaska - Haines,Haines,County,2,2100,,,Total,,,,,,,,,,,,,,,,,,,,,,2,2592
416363929,Total,2013,9.3,,,,,178,Alaska - Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,County,2,2105,,,Total,,,,,,,,,,,,,,,,,,,,,,2,2145
416363930,Total,2013,1.5,,,,,179,Alaska - Juneau,Juneau,County,2,2110,,,Total,,,,,,,,,,,,,,,,,,,,,,5,32660
416363931,Total,2013,2.1,,,,,180,Alaska - Kenai Peninsula,Kenai Peninsula,County,2,2122,,,Total,,,,,,,,,,,,,,,,,,,,,,12,57147
416363932,Total,2013,1.5,,,,,181,Alaska - Ketchikan Gateway,Ketchikan Gateway,County,2,2130,,,Total,,,,,,,,,,,,,,,,,,,,,,2,13729
416363933,Total,2013,0.7,,,,,182,Alaska - Kodiak Island,Kodiak Island,County,2,2150,,,Total,,,,,,,,,,,,,,,,,,,,,,1,14135
416363934,Total,2013,0,,,,,183,Alaska - Lake and Peninsula,Lake and Peninsula,County,2,2164,,,Total,,,,,,,,,,,,,,,,,,,,,,0,1648
416363935,Total,2013,1.1,,,,,184,Alaska - Matanuska-Susitna,Matanuska-Susitna,County,2,2170,,,Total,,,,,,,,,,,,,,,,,,,,,,10,95192
416363936,Total,2013,3,,,,,185,Alaska - Nome,Nome,County,2,2180,,,Total,,,,,,,,,,,,,,,,,,,,,,3,9892
416363937,Total,2013,0,,,,,186,Alaska - North Slope,North Slope,County,2,2185,,,Total,,,,,,,,,,,,,,,,,,,,,,0,9686
416363938,Total,2013,0,,,,,187,Alaska - Northwest Arctic,Northwest Arctic,County,2,2188,,,Total,,,,,,,,,,,,,,,,,,,,,,0,7685
416366992,Total,2013,7.9,,,,,3701,Alaska - Petersburg Census Area,Petersburg Census Area,County,2,2195,,,Total,,,,,,,,,,,,,,,,,,,,,,3,3774
416366993,Total,2013,1.7,,,,,3702,Alaska - Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,County,2,2198,,,Total,,,,,,,,,,,,,,,,,,,,,,1,5786
416363939,Total,2013,2.2,,,,,189,Alaska - Sitka,Sitka,County,2,2220,,,Total,,,,,,,,,,,,,,,,,,,,,,2,9020
416363922,Total,2013,10.1,,,,,171,Alaska - Skagway Municipality,Skagway Municipality,County,2,2230,,,Total,,,,,,,,,,,,,,,,,,,,,,1,995
416363940,Total,2013,2.9,,,,,191,Alaska - Southeast Fairbanks,Southeast Fairbanks,County,2,2240,,,Total,,,,,,,,,,,,,,,,,,,,,,2,6985
416363941,Total,2013,2,,,,,192,Alaska - Valdez-Cordova,Valdez-Cordova,County,2,2261,,,Total,,,,,,,,,,,,,,,,,,,,,,2,9763
416363942,Total,2013,0,,,,,193,Alaska - Wade Hampton,Wade Hampton,County,2,2270,,,Total,,,,,,,,,,,,,,,,,,,,,,0,7977
416366994,Total,2013,4.2,,,,,3703,Alaska - Wrangell City and Borough,Wrangell City and Borough,County,2,2275,,,Total,,,,,,,,,,,,,,,,,,,,,,1,2400
416363943,Total,2013,15.6,,,,,195,Alaska - Yakutat,Yakutat,County,2,2282,,,Total,,,,,,,,,,,,,,,,,,,,,,1,642
416363944,Total,2013,0,,,,,196,Alaska - Yukon-Koyukuk,Yukon-Koyukuk,County,2,2290,,,Total,,,,,,,,,,,,,,,,,,,,,,0,5695
416363803,Total,2013,0.3,,,,,4,Arizona,#VALUE!,State,4,4,,,Total,,,,,,,,,,,,,,,,,,,,,,200,6626624
416363945,Total,2013,0,,,,,197,Arizona - Apache,Apache,County,4,4001,,,Total,,,,,,,,,,,,,,,,,,,,,,0,71934
416363946,Total,2013,0.5,,,,,198,Arizona - Cochise,Cochise,County,4,4003,,,Total,,,,,,,,,,,,,,,,,,,,,,6,129473
416363947,Total,2013,0.7,,,,,199,Arizona - Coconino,Coconino,County,4,4005,,,Total,,,,,,,,,,,,,,,,,,,,,,9,136539
416363948,Total,2013,0.6,,,,,200,Arizona - Gila,Gila,County,4,4007,,,Total,,,,,,,,,,,,,,,,,,,,,,3,53053
416363949,Total,2013,0.3,,,,,201,Arizona - Graham,Graham,County,4,4009,,,Total,,,,,,,,,,,,,,,,,,,,,,1,37482
416363950,Total,2013,0,,,,,202,Arizona - Greenlee,Greenlee,County,4,4011,,,Total,,,,,,,,,,,,,,,,,,,,,,0,9049
416363951,Total,2013,0.5,,,,,203,Arizona - La Paz,La Paz,County,4,4012,,,Total,,,,,,,,,,,,,,,,,,,,,,1,20324
416363952,Total,2013,0.3,,,,,204,Arizona - Maricopa,Maricopa,County,4,4013,,,Total,,,,,,,,,,,,,,,,,,,,,,114,4009412
416363953,Total,2013,0.2,,,,,205,Arizona - Mohave,Mohave,County,4,4015,,,Total,,,,,,,,,,,,,,,,,,,,,,4,203030
416363954,Total,2013,0.3,,,,,206,Arizona - Navajo,Navajo,County,4,4017,,,Total,,,,,,,,,,,,,,,,,,,,,,3,107322
416363955,Total,2013,0.3,,,,,207,Arizona - Pima,Pima,County,4,4019,,,Total,,,,,,,,,,,,,,,,,,,,,,29,996554
416363956,Total,2013,0.2,,,,,208,Arizona - Pinal,Pinal,County,4,4021,,,Total,,,,,,,,,,,,,,,,,,,,,,7,389350
416363957,Total,2013,0.6,,,,,209,Arizona - Santa Cruz,Santa Cruz,County,4,4023,,,Total,,,,,,,,,,,,,,,,,,,,,,3,46768
416363958,Total,2013,0.5,,,,,210,Arizona - Yavapai,Yavapai,County,4,4025,,,Total,,,,,,,,,,,,,,,,,,,,,,10,215133
416363959,Total,2013,0.5,,,,,211,Arizona - Yuma,Yuma,County,4,4027,,,Total,,,,,,,,,,,,,,,,,,,,,,10,201201
416363804,Total,2013,1.1,,,,,5,Arkansas,#VALUE!,State,5,5,,,Total,,,,,,,,,,,,,,,,,,,,,,335,2959373
416363960,Total,2013,1.6,,,,,212,Arkansas - Arkansas,Arkansas,County,5,5001,,,Total,,,,,,,,,,,,,,,,,,,,,,3,18777
416363961,Total,2013,0.5,,,,,213,Arkansas - Ashley,Ashley,County,5,5003,,,Total,,,,,,,,,,,,,,,,,,,,,,1,21283
416363962,Total,2013,2.9,,,,,214,Arkansas - Baxter,Baxter,County,5,5005,,,Total,,,,,,,,,,,,,,,,,,,,,,12,40957
416363963,Total,2013,0.3,,,,,215,Arkansas - Benton,Benton,County,5,5007,,,Total,,,,,,,,,,,,,,,,,,,,,,6,237297
416363964,Total,2013,2.1,,,,,216,Arkansas - Boone,Boone,County,5,5009,,,Total,,,,,,,,,,,,,,,,,,,,,,8,37396
416363965,Total,2013,0,,,,,217,Arkansas - Bradley,Bradley,County,5,5011,,,Total,,,,,,,,,,,,,,,,,,,,,,0,11249
416363966,Total,2013,1.9,,,,,218,Arkansas - Calhoun,Calhoun,County,5,5013,,,Total,,,,,,,,,,,,,,,,,,,,,,1,5241
416363967,Total,2013,2.2,,,,,219,Arkansas - Carroll,Carroll,County,5,5015,,,Total,,,,,,,,,,,,,,,,,,,,,,6,27808
416363968,Total,2013,1.8,,,,,220,Arkansas - Chicot,Chicot,County,5,5017,,,Total,,,,,,,,,,,,,,,,,,,,,,2,11335
416363969,Total,2013,1.8,,,,,221,Arkansas - Clark,Clark,County,5,5019,,,Total,,,,,,,,,,,,,,,,,,,,,,4,22743
416363970,Total,2013,0,,,,,222,Arkansas - Clay,Clay,County,5,5021,,,Total,,,,,,,,,,,,,,,,,,,,,,0,15402
416363971,Total,2013,0,,,,,223,Arkansas - Cleburne,Cleburne,County,5,5023,,,Total,,,,,,,,,,,,,,,,,,,,,,0,25686
416363972,Total,2013,2.3,,,,,224,Arkansas - Cleveland,Cleveland,County,5,5025,,,Total,,,,,,,,,,,,,,,,,,,,,,2,8593
416363973,Total,2013,0,,,,,225,Arkansas - Columbia,Columbia,County,5,5027,,,Total,,,,,,,,,,,,,,,,,,,,,,0,24164
416363974,Total,2013,4.7,,,,,226,Arkansas - Conway,Conway,County,5,5029,,,Total,,,,,,,,,,,,,,,,,,,,,,10,21245
416363975,Total,2013,0,,,,,227,Arkansas - Craighead,Craighead,County,5,5031,,,Total,,,,,,,,,,,,,,,,,,,,,,0,101488
416363976,Total,2013,0.2,,,,,228,Arkansas - Crawford,Crawford,County,5,5033,,,Total,,,,,,,,,,,,,,,,,,,,,,1,61640
416363977,Total,2013,1,,,,,229,Arkansas - Crittenden,Crittenden,County,5,5035,,,Total,,,,,,,,,,,,,,,,,,,,,,5,49746
416363978,Total,2013,1.1,,,,,230,Arkansas - Cross,Cross,County,5,5037,,,Total,,,,,,,,,,,,,,,,,,,,,,2,17548
416363979,Total,2013,2.5,,,,,231,Arkansas - Dallas,Dallas,County,5,5039,,,Total,,,,,,,,,,,,,,,,,,,,,,2,7933
416363980,Total,2013,4,,,,,232,Arkansas - Desha,Desha,County,5,5041,,,Total,,,,,,,,,,,,,,,,,,,,,,5,12505
416363981,Total,2013,1.1,,,,,233,Arkansas - Drew,Drew,County,5,5043,,,Total,,,,,,,,,,,,,,,,,,,,,,2,18785
416363982,Total,2013,0,,,,,234,Arkansas - Faulkner,Faulkner,County,5,5045,,,Total,,,,,,,,,,,,,,,,,,,,,,0,119580
416363983,Total,2013,4.4,,,,,235,Arkansas - Franklin,Franklin,County,5,5047,,,Total,,,,,,,,,,,,,,,,,,,,,,8,18034
416363984,Total,2013,0,,,,,236,Arkansas - Fulton,Fulton,County,5,5049,,,Total,,,,,,,,,,,,,,,,,,,,,,0,12304
416363985,Total,2013,2.9,,,,,237,Arkansas - Garland,Garland,County,5,5051,,,Total,,,,,,,,,,,,,,,,,,,,,,28,97173
416363986,Total,2013,0,,,,,238,Arkansas - Grant,Grant,County,5,5053,,,Total,,,,,,,,,,,,,,,,,,,,,,0,18019
416363987,Total,2013,1.4,,,,,239,Arkansas - Greene,Greene,County,5,5055,,,Total,,,,,,,,,,,,,,,,,,,,,,6,43097
416363988,Total,2013,0.9,,,,,240,Arkansas - Hempstead,Hempstead,County,5,5057,,,Total,,,,,,,,,,,,,,,,,,,,,,2,22474
416363989,Total,2013,0,,,,,241,Arkansas - Hot Spring,Hot Spring,County,5,5059,,,Total,,,,,,,,,,,,,,,,,,,,,,0,33500
416363990,Total,2013,0,,,,,242,Arkansas - Howard,Howard,County,5,5061,,,Total,,,,,,,,,,,,,,,,,,,,,,0,13581
416363991,Total,2013,0,,,,,243,Arkansas - Independence,Independence,County,5,5063,,,Total,,,,,,,,,,,,,,,,,,,,,,0,36997
416363992,Total,2013,0,,,,,244,Arkansas - Izard,Izard,County,5,5065,,,Total,,,,,,,,,,,,,,,,,,,,,,0,13368
416363993,Total,2013,3.4,,,,,245,Arkansas - Jackson,Jackson,County,5,5067,,,Total,,,,,,,,,,,,,,,,,,,,,,6,17615
416363994,Total,2013,2.3,,,,,246,Arkansas - Jefferson,Jefferson,County,5,5069,,,Total,,,,,,,,,,,,,,,,,,,,,,17,73191
416363995,Total,2013,0,,,,,247,Arkansas - Johnson,Johnson,County,5,5071,,,Total,,,,,,,,,,,,,,,,,,,,,,0,25846
416363996,Total,2013,0,,,,,248,Arkansas - Lafayette,Lafayette,County,5,5073,,,Total,,,,,,,,,,,,,,,,,,,,,,0,7252
416363997,Total,2013,0,,,,,249,Arkansas - Lawrence,Lawrence,County,5,5075,,,Total,,,,,,,,,,,,,,,,,,,,,,0,17011
416363998,Total,2013,3,,,,,250,Arkansas - Lee,Lee,County,5,5077,,,Total,,,,,,,,,,,,,,,,,,,,,,3,10015
416363999,Total,2013,0,,,,,251,Arkansas - Lincoln,Lincoln,County,5,5079,,,Total,,,,,,,,,,,,,,,,,,,,,,0,14031
416364000,Total,2013,0,,,,,252,Arkansas - Little River,Little River,County,5,5081,,,Total,,,,,,,,,,,,,,,,,,,,,,0,12730
416364001,Total,2013,0.5,,,,,253,Arkansas - Logan,Logan,County,5,5083,,,Total,,,,,,,,,,,,,,,,,,,,,,1,22082
416364002,Total,2013,0.1,,,,,254,Arkansas - Lonoke,Lonoke,County,5,5085,,,Total,,,,,,,,,,,,,,,,,,,,,,1,70753
416364003,Total,2013,0,,,,,255,Arkansas - Madison,Madison,County,5,5087,,,Total,,,,,,,,,,,,,,,,,,,,,,0,15701
416364004,Total,2013,1.8,,,,,256,Arkansas - Marion,Marion,County,5,5089,,,Total,,,,,,,,,,,,,,,,,,,,,,3,16430
416364005,Total,2013,3.9,,,,,257,Arkansas - Miller,Miller,County,5,5091,,,Total,,,,,,,,,,,,,,,,,,,,,,17,43402
416364006,Total,2013,0.9,,,,,258,Arkansas - Mississippi,Mississippi,County,5,5093,,,Total,,,,,,,,,,,,,,,,,,,,,,4,44765
416364007,Total,2013,2.6,,,,,259,Arkansas - Monroe,Monroe,County,5,5095,,,Total,,,,,,,,,,,,,,,,,,,,,,2,7682
416364008,Total,2013,0,,,,,260,Arkansas - Montgomery,Montgomery,County,5,5097,,,Total,,,,,,,,,,,,,,,,,,,,,,0,9226
416364009,Total,2013,0,,,,,261,Arkansas - Nevada,Nevada,County,5,5099,,,Total,,,,,,,,,,,,,,,,,,,,,,0,8799
416364010,Total,2013,0,,,,,262,Arkansas - Newton,Newton,County,5,5101,,,Total,,,,,,,,,,,,,,,,,,,,,,0,8064
416364011,Total,2013,2.8,,,,,263,Arkansas - Ouachita,Ouachita,County,5,5103,,,Total,,,,,,,,,,,,,,,,,,,,,,7,25002
416364012,Total,2013,1,,,,,264,Arkansas - Perry,Perry,County,5,5105,,,Total,,,,,,,,,,,,,,,,,,,,,,1,10345
416364013,Total,2013,1,,,,,265,Arkansas - Phillips,Phillips,County,5,5107,,,Total,,,,,,,,,,,,,,,,,,,,,,2,20399
416364014,Total,2013,0,,,,,266,Arkansas - Pike,Pike,County,5,5109,,,Total,,,,,,,,,,,,,,,,,,,,,,0,11177
416364015,Total,2013,2.5,,,,,267,Arkansas - Poinsett,Poinsett,County,5,5111,,,Total,,,,,,,,,,,,,,,,,,,,,,6,24145
416364016,Total,2013,0.5,,,,,268,Arkansas - Polk,Polk,County,5,5113,,,Total,,,,,,,,,,,,,,,,,,,,,,1,20406
416364017,Total,2013,0.2,,,,,269,Arkansas - Pope,Pope,County,5,5115,,,Total,,,,,,,,,,,,,,,,,,,,,,1,62547
416364018,Total,2013,3.6,,,,,270,Arkansas - Prairie,Prairie,County,5,5117,,,Total,,,,,,,,,,,,,,,,,,,,,,3,8374
416364019,Total,2013,2.1,,,,,271,Arkansas - Pulaski,Pulaski,County,5,5119,,,Total,,,,,,,,,,,,,,,,,,,,,,82,391284
416364020,Total,2013,0,,,,,272,Arkansas - Randolph,Randolph,County,5,5121,,,Total,,,,,,,,,,,,,,,,,,,,,,0,17692
416364021,Total,2013,1.8,,,,,273,Arkansas - St. Francis,St. Francis,County,5,5123,,,Total,,,,,,,,,,,,,,,,,,,,,,5,27260
416364022,Total,2013,0.1,,,,,274,Arkansas - Saline,Saline,County,5,5125,,,Total,,,,,,,,,,,,,,,,,,,,,,1,114404
416364023,Total,2013,0,,,,,275,Arkansas - Scott,Scott,County,5,5127,,,Total,,,,,,,,,,,,,,,,,,,,,,0,10950
416364024,Total,2013,1.2,,,,,276,Arkansas - Searcy,Searcy,County,5,5129,,,Total,,,,,,,,,,,,,,,,,,,,,,1,8023
416364025,Total,2013,1.3,,,,,277,Arkansas - Sebastian,Sebastian,County,5,5131,,,Total,,,,,,,,,,,,,,,,,,,,,,17,127342
416364026,Total,2013,0,,,,,278,Arkansas - Sevier,Sevier,County,5,5133,,,Total,,,,,,,,,,,,,,,,,,,,,,0,17366
